Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Albion Park,2527,525000,2016,6,,,2527
Albion Park Rail,2527,525000,2016,6,,,2527
Badgerys Creek,2555,695000,2016,6,,,2555
Barrack Heights,2528,525000,2016,6,,,2528
Barrack Point,2528,525000,2016,6,,,2528
Belimbla Park,2281,680000,2016,6,,,2570
Belmont,2030,471000,2016,6,,,2280
Bickley Vale,2282,700000,2016,6,,,2570
Bilpin,2100,635000,2016,6,,,2758
Blackbutt,2316,525000,2016,6,,,2529
Blaxlands Ridge,2758,635000,2016,6,,,2758
Brownlow Hill,2570,680000,2016,6,,,2570
Camden,2570,700000,2016,6,,,2570
Camden Park,2570,680000,2016,6,,,2570
Camden South,2570,700000,2016,6,,,2570
Cardiff,2285,471000,2016,6,,,2285
Carlton,2218,880000,2016,6,,,2218
Catherine Hill Bay,2281,471000,2016,6,,,2281
Caves Beach,2281,471000,2016,6,,,2281
Cawdor,2570,680000,2016,6,,,2570
Charlestown,2290,471000,2016,6,,,2290
Clovelly,2031,1100000,2016,6,,,2031
Cobbitty,2570,700000,2016,6,,,2570
Couridjah,2571,680000,2016,6,,,2571
Croom,2527,525000,2016,6,,,2527
Dunmore,2529,525000,2016,6,,,2529
East Kurrajong,2758,635000,2016,6,,,2758
Elderslie,2570,700000,2016,6,,,2335
Ellis Lane,2570,700000,2016,6,,,2570
Fern Bay,2295,449000,2016,6,,,2295
Flinders,2529,525000,2016,6,,,2529
Glen Oak,2320,449000,2016,6,,,2320
Glendale,2285,471000,2016,6,,,2285
Glenmore,2570,680000,2016,6,,,2570
Grasmere,2570,700000,2016,6,,,2570
Hinton,2321,449000,2016,6,,,2321
Kingsgrove,2208,760000,2016,6,,,1480
Kirkham,2570,700000,2016,6,,,2570
Kurrajong,2758,635000,2016,6,,,2758
Kurrajong Heights,2758,635000,2016,6,,,2758
Kurrajong Hills,2758,635000,2016,6,,,2758
Lake Illawarra,2528,525000,2016,6,,,2528
Leets Vale,2775,1089000,2016,6,,,2775
Maldon,2571,680000,2016,6,,,2571
Mount Hunter,2570,680000,2016,6,,,2570
Mount Hutton,2290,471000,2016,6,,,2290
Mount Pritchard,2170,700000,2016,6,,,2170
Mount Warrigal,2528,525000,2016,6,,,2528
Mountain Lagoon,2758,635000,2016,6,,,2758
Mowbray Park,2571,680000,2016,6,,,2571
