State,City,Suburb,Median,UpdatedYear,UpdatedMonth
WA,Perth,Alexander Heights,415000,2018,4
WA,Perth,Alfred Cove,747500,2018,4
WA,Perth,Alkimos,400000,2018,4
WA,Perth,Anketell,0,2018,4
WA,Perth,Applecross,1600000,2018,4
WA,Perth,Ardross,1000000,2018,4
WA,Perth,Armadale,260000,2018,4
WA,Perth,Ascot,660000,2018,4
WA,Perth,Ashby,460000,2018,4
WA,Perth,Ashfield,475000,2018,4
WA,Perth,Attadale,1147500,2018,4
WA,Perth,Atwell,520000,2018,4
WA,Perth,Aubin Grove,550000,2018,4
WA,Perth,Aveley,461250,2018,4
WA,Perth,Bailup,0,2018,4
WA,Perth,Balcatta,496250,2018,4
WA,Perth,Baldivis,405000,2018,4
WA,Perth,Balga,335000,2018,4
WA,Perth,Ballajura,425000,2018,4
WA,Perth,Banjup,540000,2018,4
WA,Perth,Banksia Grove,400000,2018,4
WA,Perth,Baskerville,0,2018,4
WA,Perth,Bassendean,515000,2018,4
WA,Perth,Bateman,718500,2018,4
WA,Perth,Bayswater,570000,2018,4
WA,Perth,Beaconsfield,683500,2018,4
WA,Perth,Beckenham,400000,2018,4
WA,Perth,Bedford,631000,2018,4
WA,Perth,Bedfordale,693000,2018,4
WA,Perth,Beechboro,375000,2018,4
WA,Perth,Beechina,0,2018,4
WA,Perth,Beeliar,501000,2018,4
WA,Perth,Beldon,460000,2018,4
WA,Perth,Belhus,0,2018,4
WA,Perth,Bellevue,387500,2018,4
WA,Perth,Belmont,450000,2018,4
WA,Perth,Bennett Springs,453000,2018,4
WA,Perth,Bentley,470000,2018,4
WA,Perth,Bertram,382000,2018,4
WA,Perth,Bibra Lake,541500,2018,4
WA,Perth,Bickley,625000,2018,4
WA,Perth,Bicton,1050000,2018,4
WA,Perth,Booragoon,830000,2018,4
WA,Perth,Boya,585000,2018,4
WA,Perth,Brabham,400000,2018,4
WA,Perth,Brentwood,645000,2018,4
WA,Perth,Brigadoon,0,2018,4
WA,Perth,Brookdale,290000,2018,4
WA,Perth,Bull Creek,700000,2018,4
WA,Perth,Bullsbrook,350000,2018,4
WA,Perth,Burns Beach,827000,2018,4
WA,Perth,Burswood,614000,2018,4
WA,Perth,Bushmead,0,2018,4
WA,Perth,Butler,400000,2018,4
WA,Perth,Byford,410000,2018,4
WA,Perth,Calista,280000,2018,4
WA,Perth,Camillo,270000,2018,4
WA,Perth,Canning Mills,0,2018,4
WA,Perth,Canning Vale,560000,2018,4
WA,Perth,Cannington,405000,2018,4
WA,Perth,Carabooda,0,2018,4
WA,Perth,Cardup,795000,2018,4
WA,Perth,Carine,767500,2018,4
WA,Perth,Carlisle,510000,2018,4
WA,Perth,Carmel,638750,2018,4
WA,Perth,Carramar,516500,2018,4
WA,Perth,Casuarina,881200,2018,4
WA,Perth,Caversham,440000,2018,4
WA,Perth,Challenger,0,2018,4
WA,Perth,Champion Lakes,425000,2018,4
WA,Perth,Chidlow,399000,2018,4
WA,Perth,Churchlands,1350000,2018,4
WA,Perth,City Beach,1781000,2018,4
WA,Perth,Claremont,1325000,2018,4
WA,Perth,Clarence,0,2018,4
WA,Perth,Clarkson,392000,2018,4
WA,Perth,Cloverdale,435000,2018,4
WA,Perth,Cockburn Central,663500,2018,4
WA,Perth,Como,905000,2018,4
WA,Perth,Connolly,650000,2018,4
WA,Perth,Coogee,820000,2018,4
WA,Perth,Coolbellup,443500,2018,4
WA,Perth,Coolbinia,1115000,2018,4
WA,Perth,Cooloongup,287000,2018,4
WA,Perth,Cottesloe,2127500,2018,4
WA,Perth,Craigie,430000,2018,4
WA,Perth,Crawley,927500,2018,4
WA,Perth,Currambine,539000,2018,4
WA,Perth,Daglish,1047500,2018,4
WA,Perth,Dalkeith,2575000,2018,4
WA,Perth,Darch,545000,2018,4
WA,Perth,Darling Downs,485000,2018,4
WA,Perth,Darlington,580000,2018,4
WA,Perth,Dayton,474000,2018,4
WA,Perth,Dianella,600000,2018,4
WA,Perth,Doubleview,715000,2018,4
WA,Perth,Duncraig,685000,2018,4
WA,Perth,East Cannington,477500,2018,4
WA,Perth,East Fremantle,1100000,2018,4
WA,Perth,East Perth,1100000,2018,4
WA,Perth,East Rockingham,0,2018,4
WA,Perth,East Victoria Park,635000,2018,4
WA,Perth,Eden Hill,407500,2018,4
WA,Perth,Edgewater,491000,2018,4
WA,Perth,Eglinton,424000,2018,4
WA,Perth,Ellenbrook,389000,2018,4
WA,Perth,Embleton,480000,2018,4
WA,Perth,Ferndale,420000,2018,4
WA,Perth,Floreat,1283500,2018,4
WA,Perth,Forrestdale,387500,2018,4
WA,Perth,Forrestfield,400000,2018,4
WA,Perth,Fremantle,773500,2018,4
