State,Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,VLOOKUP POSTCODE
NSW,Albion Park,2527,525000,2016,6,,,2527
NSW,Albion Park Rail,2527,525000,2016,6,,,2527
NSW,Badgerys Creek,2555,695000,2016,6,,,2555
NSW,Barrack Heights,2528,525000,2016,6,,,2528
NSW,Barrack Point,2528,525000,2016,6,,,2528
NSW,Belimbla Park,2281,680000,2016,6,,,2570
NSW,Belmont,2030,471000,2016,6,,,2280
NSW,Bickley Vale,2282,700000,2016,6,,,2570
NSW,Bilpin,2100,635000,2016,6,,,2758
NSW,Blackbutt,2316,525000,2016,6,,,2529
NSW,Blaxlands Ridge,2758,635000,2016,6,,,2758
NSW,Brownlow Hill,2570,680000,2016,6,,,2570
NSW,Camden,2570,700000,2016,6,,,2570
NSW,Camden Park,2570,680000,2016,6,,,2570
NSW,Camden South,2570,700000,2016,6,,,2570
NSW,Cardiff,2285,471000,2016,6,,,2285
NSW,Carlton,2218,880000,2016,6,,,2218
NSW,Catherine Hill Bay,2281,471000,2016,6,,,2281
NSW,Caves Beach,2281,471000,2016,6,,,2281
NSW,Cawdor,2570,680000,2016,6,,,2570
NSW,Charlestown,2290,471000,2016,6,,,2290
NSW,Clovelly,2031,1100000,2016,6,,,2031
NSW,Cobbitty,2570,700000,2016,6,,,2570
NSW,Couridjah,2571,680000,2016,6,,,2571
NSW,Croom,2527,525000,2016,6,,,2527
NSW,Dunmore,2529,525000,2016,6,,,2529
NSW,East Kurrajong,2758,635000,2016,6,,,2758
NSW,Elderslie,2570,700000,2016,6,,,2335
NSW,Ellis Lane,2570,700000,2016,6,,,2570
NSW,Fern Bay,2295,449000,2016,6,,,2295
NSW,Flinders,2529,525000,2016,6,,,2529
NSW,Glen Oak,2320,449000,2016,6,,,2320
NSW,Glendale,2285,471000,2016,6,,,2285
NSW,Glenmore,2570,680000,2016,6,,,2570
NSW,Grasmere,2570,700000,2016,6,,,2570
NSW,Hinton,2321,449000,2016,6,,,2321
NSW,Kingsgrove,2208,760000,2016,6,,,1480
NSW,Kirkham,2570,700000,2016,6,,,2570
NSW,Kurrajong,2758,635000,2016,6,,,2758
NSW,Kurrajong Heights,2758,635000,2016,6,,,2758
NSW,Kurrajong Hills,2758,635000,2016,6,,,2758
NSW,Lake Illawarra,2528,525000,2016,6,,,2528
NSW,Leets Vale,2775,1089000,2016,6,,,2775
NSW,Maldon,2571,680000,2016,6,,,2571
NSW,Mount Hunter,2570,680000,2016,6,,,2570
NSW,Mount Hutton,2290,471000,2016,6,,,2290
NSW,Mount Pritchard,2170,700000,2016,6,,,2170
NSW,Mount Warrigal,2528,525000,2016,6,,,2528
